timeOfDay,websiteCategory,sessionDuration,previousDistractions,focusScore,distractionRisk
1,1,77,8,11,high
0,6,43,6,98,low
1,7,50,9,27,high
3,0,33,3,64,high
1,7,45,5,82,medium
0,5,85,1,34,medium
2,0,66,10,40,high
3,6,120,5,35,high
3,0,94,6,23,high
1,0,6,4,23,high
1,0,48,2,26,high
2,3,38,10,51,high
0,4,73,5,58,medium
1,3,35,7,11,high
0,0,117,0,87,medium
3,1,39,3,71,high
2,6,65,8,16,high
3,7,19,0,86,medium
3,6,110,1,12,high
3,0,110,8,61,high
0,6,97,3,52,medium
3,5,45,3,55,high
0,4,11,6,97,medium
1,1,87,2,94,medium
2,7,54,0,35,medium
1,3,119,0,62,medium
0,0,86,0,97,low
0,1,67,1,76,medium
3,3,119,7,90,high
1,0,97,3,49,high
1,2,58,0,35,medium
3,3,7,0,56,high
0,7,15,5,84,low
3,0,56,9,94,high
3,4,70,3,72,high
2,7,8,0,74,medium
0,6,19,2,56,low
0,7,86,5,39,medium
1,1,92,2,48,high
2,6,8,10,55,high
0,7,63,8,84,medium
1,2,14,3,60,high
0,3,88,10,82,high
2,4,101,3,12,high
0,3,105,1,78,low
2,2,74,10,56,high
0,7,77,10,100,low
0,7,112,3,52,medium
0,3,76,6,53,high
3,6,56,1,21,high
0,3,92,7,83,high
1,6,73,7,73,medium
2,4,102,7,88,high
2,3,65,6,18,high
2,1,105,7,29,high
3,5,10,6,89,high
1,2,9,9,13,high
3,1,16,1,56,high
1,1,69,5,46,high
3,7,87,4,95,medium
2,0,30,5,87,high
2,6,23,1,91,low
3,6,104,3,36,high
3,0,92,10,63,high
3,4,80,1,73,high
2,4,61,6,98,high
0,2,53,7,10,high
1,5,7,5,98,medium
0,3,26,0,42,low
3,3,109,0,21,high
0,3,44,3,66,medium
0,6,86,1,81,low
0,5,86,1,21,medium
2,3,40,1,13,high
2,7,28,2,91,medium
3,6,85,9,94,high
1,7,15,7,24,high
1,5,62,0,92,high
0,3,108,6,92,medium
0,6,87,1,100,low
1,2,93,4,29,medium
3,2,14,0,62,medium
2,3,28,0,100,medium
3,7,36,1,92,medium
0,4,38,4,65,medium
0,3,27,5,27,high
3,3,117,3,17,high
0,2,24,6,33,high
0,5,87,7,15,high
1,2,73,8,27,high
3,4,75,6,16,high
2,2,29,6,79,high
0,2,40,5,63,medium
3,7,75,2,57,medium
3,2,39,5,83,high
3,0,85,0,47,high
3,3,9,10,46,high
0,4,13,4,28,high
3,0,89,8,50,high
1,2,76,10,25,high
3,1,10,5,63,high
2,4,109,9,100,high
3,5,5,5,58,high
2,7,115,1,37,high
2,3,89,0,72,high
2,6,119,1,84,medium
3,1,115,10,52,high
2,6,41,5,32,high
0,4,92,3,74,medium
3,6,29,4,27,high
2,6,59,2,100,low
1,4,32,9,38,high
2,2,61,10,41,high
3,4,106,0,76,high
3,6,55,7,11,high
3,7,15,3,28,high
1,7,42,0,21,medium
3,1,96,10,45,high
1,4,65,0,60,high
2,0,69,2,26,high
2,5,55,0,41,high
0,7,38,5,80,low
1,0,74,6,95,medium
0,5,78,3,11,high
0,7,109,0,67,low
1,6,76,1,12,medium
1,3,120,10,57,high
0,0,100,8,90,high
1,7,14,10,82,high
2,7,50,5,31,high
0,4,49,6,33,high
1,7,5,8,81,high
1,0,25,6,84,high
2,4,93,4,35,high
1,0,45,3,10,high
2,7,22,5,50,high
1,5,38,0,66,medium
1,7,36,2,50,medium
1,4,25,8,95,high
0,0,16,9,84,high
2,0,93,1,81,high
0,2,100,1,11,medium
1,5,62,0,87,medium
3,1,76,8,78,high
3,6,111,3,46,high
2,1,102,3,63,high
3,3,8,0,85,high
3,1,115,10,92,high
1,3,12,4,60,high
3,3,8,8,13,high
1,0,51,7,66,high
1,4,91,1,71,high
2,6,14,8,15,high
3,7,38,6,84,medium
3,2,35,6,28,high
1,7,51,2,91,low
2,7,119,9,60,high
0,7,43,10,39,high
3,2,29,4,15,high
2,6,19,1,11,high
2,4,27,9,77,high
3,0,20,9,44,high
2,2,71,5,86,high
0,5,53,6,30,high
1,1,62,2,93,medium
0,3,101,0,95,medium
2,6,72,10,19,high
0,1,22,5,68,medium
0,3,48,3,95,low
2,1,41,7,39,high
2,4,100,0,16,high
2,1,40,0,89,medium
3,7,21,2,53,medium
3,0,90,4,12,high
0,7,54,4,86,low
3,6,16,2,71,medium
2,6,85,3,16,high
2,6,29,3,33,high
0,1,105,5,11,high
2,7,101,6,96,high
2,4,47,9,12,high
2,7,69,8,82,high
0,7,70,3,56,medium
2,4,80,9,63,high
3,2,13,5,83,high
2,0,42,2,91,high
0,0,24,3,21,high
3,3,85,8,11,high
3,6,13,9,21,high
0,4,64,4,72,medium
3,3,89,1,61,high
1,1,115,2,17,high
2,4,38,1,31,high
1,5,5,7,58,high
3,7,88,5,76,medium
3,5,5,4,41,high
3,4,12,7,96,high
3,7,119,9,100,high
3,3,105,8,79,high
0,7,87,1,51,medium
1,2,101,6,89,medium
2,1,13,9,76,high
2,3,15,8,57,high
0,1,39,3,50,medium
0,0,7,4,85,high
2,7,108,9,60,high
2,6,11,0,26,high
0,1,68,5,100,medium
0,6,104,1,16,medium
0,0,90,9,73,high
2,2,32,0,69,medium
0,5,59,0,63,medium
2,2,68,3,14,high
1,5,94,2,54,high
1,6,54,5,91,low
2,0,38,3,31,high
2,0,97,3,72,high
2,7,107,6,88,medium
3,4,61,6,96,high
3,4,8,10,56,high
3,3,63,5,38,high
2,3,108,6,73,high
1,5,119,7,54,high
0,4,51,1,67,medium
2,1,22,7,77,high
0,5,71,9,74,high
3,5,101,3,32,high
3,0,114,1,78,high
0,3,11,3,59,medium
3,6,38,3,94,medium
0,4,60,6,70,high
2,1,16,9,91,high
0,0,107,6,99,medium
1,4,18,1,100,low
2,3,82,3,77,medium
2,7,111,7,64,high
1,4,84,3,20,high
3,7,93,6,45,high
3,1,35,7,53,high
0,3,100,3,81,medium
2,1,53,7,63,high
2,4,12,4,49,high
1,1,47,1,23,high
2,3,45,4,75,medium
3,2,65,4,49,high
3,1,35,0,13,high
3,0,58,9,35,high
2,4,54,5,90,high
1,7,42,0,20,medium
3,1,85,9,46,high
1,3,40,9,56,high
2,1,93,0,17,high
1,6,34,1,25,medium
1,3,105,4,95,medium
0,7,47,5,63,medium
3,1,9,7,29,high
0,0,22,4,25,high
0,4,98,6,48,high
3,5,106,0,75,high
2,7,29,7,76,high
1,6,74,10,27,high
2,7,71,5,76,medium
1,5,20,5,91,medium
0,2,57,3,30,medium
2,3,85,10,12,high
0,1,117,0,97,low
2,3,103,3,57,high
3,2,16,1,80,medium
3,0,32,9,39,high
1,1,55,5,37,high
3,4,22,10,30,high
2,2,71,7,29,high
1,7,5,6,52,high
0,3,18,5,19,medium
1,7,10,2,86,medium
2,5,39,6,56,high
3,0,93,7,93,high
0,1,25,10,55,high
2,5,119,6,37,high
3,4,36,10,56,high
3,2,10,10,24,high
1,4,43,5,84,high
0,7,91,4,75,medium
1,3,17,1,23,medium
3,0,13,2,62,high
3,2,103,9,58,high
2,7,73,1,28,high
0,6,44,4,21,medium
0,6,92,7,79,medium
1,7,102,2,34,high
2,0,46,10,57,high
0,2,70,7,32,high
2,0,6,0,69,high
2,0,40,2,14,high
0,6,74,8,42,high
0,7,27,9,59,high
1,1,119,10,49,high
2,5,117,9,65,high
3,4,34,0,26,high
1,0,50,8,50,high
1,7,26,1,78,low
3,6,63,0,40,high
1,4,19,7,24,high
1,5,50,5,87,medium
1,3,69,7,80,high
0,6,75,9,71,high
1,3,74,0,82,medium
2,7,30,5,80,medium
3,0,96,9,77,high
2,1,85,4,56,high
3,7,92,5,11,high
2,2,59,5,64,high
0,2,108,9,34,high
1,6,50,0,80,low
3,1,98,9,52,high
0,4,28,8,92,high
3,2,33,8,64,high
2,1,66,4,60,high
1,7,69,5,93,medium
3,1,91,4,53,high
3,0,39,2,44,high
0,5,106,9,43,high
0,6,43,5,89,low
2,1,66,7,78,high
3,5,113,1,24,high
0,4,67,8,54,high
2,6,84,7,43,high
0,1,110,10,68,high
2,7,118,1,14,medium
2,4,62,5,74,high
0,6,53,5,77,low
2,2,27,5,30,high
3,7,67,0,23,medium
3,5,111,5,67,high
0,1,61,3,33,high
0,7,45,6,95,low
0,6,17,2,80,low
1,2,50,4,96,medium
0,4,32,6,58,high
3,3,118,0,95,medium
3,4,66,8,11,high
3,7,20,7,36,high
0,7,12,0,10,medium
0,1,103,0,71,medium
3,7,113,9,56,high
1,3,93,3,36,high
2,5,19,9,37,high
3,6,16,5,68,medium
0,3,27,3,26,medium
0,3,92,3,56,medium
0,3,93,7,65,medium
0,6,102,1,31,low
0,3,16,4,30,medium
3,2,22,3,42,high
2,2,109,1,63,medium
3,1,112,3,33,high
3,3,89,5,44,high
3,0,17,7,59,high
0,0,12,0,26,high
1,5,11,9,61,high
3,0,85,9,22,high
0,4,103,7,22,high
0,6,78,10,31,high
2,5,35,4,36,high
3,3,92,9,12,high
3,1,11,7,97,high
3,7,101,6,38,high
0,6,108,1,83,low
3,4,88,6,92,high
3,0,106,9,82,high
2,0,72,10,85,high
3,2,59,4,19,high
3,1,42,2,43,high
1,6,111,8,77,high
0,1,85,0,62,low
1,2,27,1,10,high
0,7,116,6,61,medium
0,6,11,10,83,high
0,1,73,3,85,medium
2,3,27,4,44,high
2,4,82,3,31,high
2,5,52,4,38,high
2,7,55,0,36,medium
2,6,82,6,41,high
2,7,92,6,37,high
0,0,49,3,51,medium
3,1,120,2,13,high
1,4,62,8,35,high
0,0,23,2,38,high
3,2,5,0,23,high
2,1,28,0,89,medium
0,7,85,9,71,medium
0,0,67,4,92,medium
0,1,44,1,61,medium
1,1,60,9,19,high
0,1,102,1,92,low
2,4,71,3,51,high
2,2,11,0,72,high
3,7,10,7,44,high
2,2,60,7,54,high
2,4,51,8,54,high
2,5,103,2,35,high
0,5,72,3,60,medium
0,6,92,10,76,medium
2,1,72,9,11,high
0,4,45,0,21,high
0,6,81,7,86,medium
0,6,77,8,61,high
3,4,88,6,98,high
1,5,26,7,65,high
2,6,79,0,69,medium
1,4,38,0,91,low
0,7,96,0,70,low
1,1,97,1,39,medium
0,2,77,10,58,medium
3,0,114,6,31,high
0,0,67,8,40,high
1,3,7,3,71,high
3,1,75,10,23,high
2,3,95,2,71,medium
1,3,16,9,63,high
2,4,17,0,38,high
3,7,36,0,14,medium
1,6,102,0,74,medium
2,3,66,8,85,high
3,2,118,2,76,high
2,6,106,4,48,medium
1,0,69,5,69,high
0,4,83,8,47,high
0,3,43,3,42,medium
3,1,15,0,39,high
2,4,51,4,29,high
1,2,73,3,98,medium
1,1,26,8,70,high
2,5,30,8,25,high
2,1,6,1,88,high
2,5,90,8,23,high
1,1,109,0,64,high
2,3,100,6,25,high
1,6,49,4,42,low
3,1,73,3,69,high
0,6,116,5,100,low
0,5,73,3,100,medium
1,7,39,8,91,high
2,1,44,10,31,high
2,5,89,8,18,high
1,7,56,4,92,low
3,6,102,5,94,medium
1,1,105,4,35,high
0,6,9,8,11,high
0,0,88,6,68,high
3,4,47,5,16,high
0,3,65,4,13,high
3,4,35,4,95,high
1,4,47,6,55,high
0,0,43,7,20,high
1,4,10,4,69,high
2,7,95,8,43,high
1,3,21,9,58,medium
3,2,48,4,91,medium
2,7,27,9,31,high
1,0,23,1,68,medium
2,3,48,10,85,high
3,4,111,3,48,high
1,3,114,6,98,medium
0,7,49,3,50,medium
1,3,63,4,51,high
3,7,119,3,90,medium
0,0,32,7,67,high
3,5,114,0,89,high
2,4,17,9,81,high
2,1,31,9,74,high
1,1,44,6,31,high
3,5,9,6,46,high
0,5,99,7,88,high
1,4,104,2,66,medium
1,0,49,8,35,high
1,4,102,2,39,high
1,7,94,7,80,high
0,0,97,3,26,high
0,3,98,8,20,high
0,3,71,8,79,medium
2,7,17,2,36,high
1,2,112,6,79,high
2,3,75,5,58,high
2,5,109,3,100,high
2,0,116,6,57,high
2,6,26,10,88,high
2,6,51,0,87,low
2,5,27,10,29,high
2,5,10,9,100,high
2,5,117,5,77,high
1,6,112,6,19,high
0,7,113,4,10,high
3,3,107,1,34,high
1,3,80,6,11,high
2,5,65,8,42,high
0,1,120,2,100,low
1,6,69,7,53,medium
2,6,79,8,12,high
2,5,29,8,54,high
2,2,91,3,29,high
1,2,100,4,87,medium
3,3,83,4,18,high
2,5,62,9,80,high
3,6,27,9,50,high
2,5,8,4,11,high
2,7,77,10,71,high
3,7,84,6,51,high
0,5,94,4,80,medium
3,2,115,0,66,medium
3,4,62,6,81,high
2,3,101,7,51,high
2,5,88,10,10,high
2,6,37,7,21,high
1,2,103,0,51,medium
3,4,11,6,46,high
0,0,74,8,82,high
1,5,114,5,47,high
2,3,81,4,88,medium
3,3,113,8,27,high
1,4,11,6,45,high
1,1,66,7,78,medium
0,4,95,5,21,high
0,5,79,3,39,high
0,2,107,5,78,medium
0,1,58,10,63,medium
3,3,84,6,80,high
3,1,53,7,56,high
3,2,106,1,88,high
0,5,18,10,89,high
0,0,34,2,98,medium
1,5,16,10,21,high
2,1,86,4,63,high
1,7,31,10,20,high
1,5,41,9,30,high
0,2,102,8,37,high
2,4,46,10,68,high
1,0,21,6,49,high
0,0,7,9,88,high
2,7,31,1,37,medium
3,6,111,0,66,medium
0,1,68,5,79,medium
1,2,120,8,99,high
3,1,29,8,32,high
2,3,45,5,76,high
3,2,23,5,17,high
1,2,51,6,59,high
1,4,70,9,47,high
2,1,98,9,97,high
0,7,47,1,80,low
0,5,94,6,94,medium
2,6,77,4,87,high
2,1,38,8,47,high
0,5,110,5,76,medium
2,6,55,10,12,high
1,1,22,4,60,high
2,6,116,7,14,high
3,2,110,1,75,high
0,6,10,10,97,medium
3,3,109,1,72,medium
1,6,114,4,86,medium
3,1,101,9,31,high
1,3,34,10,100,medium
1,2,78,5,60,high
3,1,67,5,71,high
2,2,76,0,80,medium
0,3,76,10,68,medium
2,1,79,0,38,high
3,5,64,0,65,high
1,4,85,5,69,high
3,6,66,0,88,medium
2,5,6,1,53,high
1,1,9,6,55,high
0,0,116,7,55,high
2,3,110,3,20,high
0,3,72,8,18,high
3,1,25,6,11,high
2,6,95,2,70,medium
1,4,21,7,48,high
0,5,48,6,88,medium
2,0,43,8,73,high
0,6,6,1,22,high
1,1,98,2,19,high
3,3,64,3,43,high
3,3,41,3,93,medium
3,6,63,9,14,high
3,2,5,8,27,high
2,1,55,5,12,high
0,2,65,5,47,medium
3,2,44,9,100,high
3,1,101,4,72,high
3,1,33,2,54,high
2,1,20,1,23,high
0,3,66,3,42,medium
2,2,107,7,57,high
1,3,48,5,35,high
3,5,10,4,74,high
1,1,117,5,99,medium
1,7,56,10,28,high
0,6,25,10,32,high
3,1,76,1,21,high
3,2,42,1,76,high
0,1,113,2,52,medium
1,2,39,9,35,high
1,2,68,5,29,high
1,1,68,9,16,high
3,0,33,7,53,high
0,3,62,6,72,medium
1,5,17,3,31,high
0,2,79,3,10,high
0,6,92,1,53,low
3,2,115,5,71,high
3,7,42,3,41,medium
0,1,38,3,32,high
2,4,68,0,24,high
0,6,85,8,77,medium
0,0,120,10,88,medium
1,7,7,5,80,high
0,2,32,5,57,medium
1,3,35,10,75,medium
3,5,34,5,46,high
2,5,58,6,12,high
2,0,106,4,43,high
1,6,8,5,74,medium
0,4,99,5,68,high
0,7,76,7,100,low
1,3,76,6,100,high
0,4,83,5,32,high
3,3,18,0,10,high
3,7,91,9,34,high
3,6,33,9,89,high
2,7,64,2,84,medium
2,4,83,3,18,high
2,6,75,10,24,high
1,2,42,3,61,medium
2,3,50,8,70,high
3,6,60,8,99,high
3,0,9,9,78,high
2,5,89,0,29,high
0,0,16,5,13,high
